State,"5 - Temperature","6 - Temperature","8 - Temperature","T-101 - Spec Value (Reflux Ratio)","T-100 - Spec Value (Reflux Ratio)","VLV-100 - Pressure Drop","10 Out - Master Comp Molar Flow (diM-Ether)","15 - Master Comp Molar Flow (Methanol)","SPRDSHT-1 - A10: Q_sum"
,"C","C","C","","","kPa","kgmole/h","kgmole/h",""
"Case 1","240.000000","340.000000","90.000000","1.300000","1.000000","0.000000","108.133142","41.097413","51889759.917397"
"Case 2","240.000000","340.000000","90.000000","1.300000","1.000000","400.000000","108.133142","41.101653","51889340.943935"
"Case 3","240.000000","340.000000","90.000000","1.300000","1.000000","800.000000","108.133142","41.101543","51889345.253240"
"Case 4","240.000000","340.000000","90.000000","1.300000","1.500000","0.000000","108.133142","41.101546","51889352.664279"
"Case 5","240.000000","340.000000","90.000000","1.300000","1.500000","400.000000","108.133142","41.101548","51889359.769763"
"Case 6","240.000000","340.000000","90.000000","1.300000","1.500000","800.000000","108.133142","41.101549","51889366.718970"
"Case 7","240.000000","340.000000","90.000000","1.300000","2.000000","0.000000","108.133142","41.101551","51889373.513406"
"Case 8","240.000000","340.000000","90.000000","1.300000","2.000000","400.000000","108.133142","41.101553","51889380.156532"
"Case 9","240.000000","340.000000","90.000000","1.300000","2.000000","800.000000","108.133142","41.101554","51889386.651716"
"Case 10","240.000000","340.000000","90.000000","1.650000","1.000000","0.000000","108.632373","40.144565","56567773.376136"
"Case 11","240.000000","340.000000","90.000000","1.650000","1.000000","400.000000","108.632373","40.144600","56568630.454955"
"Case 12","240.000000","340.000000","90.000000","1.650000","1.000000","800.000000","108.632373","40.144746","56568565.534196"
"Case 13","240.000000","340.000000","90.000000","1.650000","1.500000","0.000000","108.632373","40.144729","56568516.901241"
"Case 14","240.000000","340.000000","90.000000","1.650000","1.500000","400.000000","108.632373","40.143756","56568575.483057"
"Case 15","240.000000","340.000000","90.000000","1.650000","1.500000","800.000000","108.632373","40.143749","56568589.303902"
"Case 16","240.000000","340.000000","90.000000","1.650000","2.000000","0.000000","108.632373","40.143752","56568599.312182"
"Case 17","240.000000","340.000000","90.000000","1.650000","2.000000","400.000000","108.632373","40.143755","56568609.025495"
"Case 18","240.000000","340.000000","90.000000","1.650000","2.000000","800.000000","108.632373","40.143758","56568618.484144"
"Case 19","240.000000","340.000000","90.000000","2.000000","1.000000","0.000000","108.964037","39.524381","58190623.416068"
"Case 20","240.000000","340.000000","90.000000","2.000000","1.000000","400.000000","108.964037","39.524285","58191497.244605"
"Case 21","240.000000","340.000000","90.000000","2.000000","1.000000","800.000000","108.964037","39.524469","58191423.581867"
"Case 22","240.000000","340.000000","90.000000","2.000000","1.500000","0.000000","108.964037","39.524446","58191366.065796"
