State;5 - Temperature;6 - Temperature;8 - Temperature;T-101 - Spec Value (Reflux Ratio);T-101 - Spec Value (Distillate Rate);T-100 - Spec Value (Distillate Rate);10 Out - Master Comp Molar Flow (diM-Ether);15 - Master Comp Molar Flow (Methanol);SPRDSHT-1 - A10: Q_sum
Case 1;240.00;340.00;90.00;1.30;60.00;110.00;105.63;43.72;49155826.61
Case 2;240.00;340.00;90.00;1.30;60.00;116.67;105.83;37.02;48995742.27
Case 3;240.00;340.00;90.00;1.30;60.00;123.33;105.86;30.38;48689533.12
Case 4;240.00;340.00;90.00;1.30;60.00;130.00;105.85;23.83;48391862.73
Case 5;240.00;340.00;90.00;1.30;66.67;110.00;106.94;42.47;50324220.11
Case 6;240.00;340.00;90.00;1.30;66.67;116.67;107.20;35.68;50080476.88
Case 7;240.00;340.00;90.00;1.30;66.67;123.33;107.24;29.02;49636312.64
Case 8;240.00;340.00;90.00;1.30;66.67;130.00;107.24;22.46;49249826.75
Case 9;240.00;340.00;90.00;1.30;73.33;110.00;108.26;41.21;51448504.42
Case 10;240.00;340.00;90.00;1.30;73.33;116.67;108.55;34.36;51258274.23
Case 11;240.00;340.00;90.00;1.30;73.33;123.33;108.61;27.72;50664620.58
Case 12;240.00;340.00;90.00;1.30;73.33;130.00;108.61;21.11;50190991.20
Case 13;240.00;340.00;90.00;1.30;80.00;110.00;109.48;40.01;52507006.44
Case 14;240.00;340.00;90.00;1.30;80.00;116.67;109.87;33.08;52486184.15
Case 15;240.00;340.00;90.00;1.30;80.00;123.33;109.95;26.37;51767921.06
Case 16;240.00;340.00;90.00;1.30;80.00;130.00;109.95;19.69;51211659.90
Case 17;240.00;340.00;90.00;1.53;60.00;110.00;105.95;43.48;49933688.36
Case 18;240.00;340.00;90.00;1.53;60.00;116.67;106.17;36.72;51603422.65
Case 19;240.00;340.00;90.00;1.53;60.00;123.33;106.23;30.05;51894775.03
Case 20;240.00;340.00;90.00;1.53;60.00;130.00;106.25;23.46;51858297.75
Case 21;240.00;340.00;90.00;1.53;66.67;110.00;107.27;42.21;51181010.55
Case 22;240.00;340.00;90.00;1.53;66.67;116.67;107.56;35.36;52942163.82
Case 23;240.00;340.00;90.00;1.53;66.67;123.33;107.64;28.70;53036475.81
