State,"5 - Temperature","6 - Temperature","8 - Temperature","T-101 - Spec Value (Reflux Ratio)","T-101 - Spec Value (Distillate Rate)","T-100 - Spec Value (Distillate Rate)","10 Out - Master Comp Molar Flow (diM-Ether)","15 - Master Comp Molar Flow (Methanol)","SPRDSHT-1 - A10: Q_sum"
,"C","C","C","","kgmole/h","kgmole/h","kgmole/h","kgmole/h",""
"Case 1","240.000000","340.000000","90.000000","1.300000","60.000000","110.000000","105.632704","43.723573","49155777.494529"
"Case 2","240.000000","340.000000","90.000000","1.300000","60.000000","120.000000","105.858130","33.689663","48909816.884832"
"Case 3","240.000000","340.000000","90.000000","1.300000","60.000000","130.000000","105.860742","23.844379","48427324.788625"
"Case 4","240.000000","340.000000","90.000000","1.300000","70.000000","110.000000","107.617708","41.837649","50889956.926595"
"Case 5","240.000000","340.000000","90.000000","1.300000","70.000000","120.000000","107.899862","31.664650","50406734.541355"
"Case 6","240.000000","340.000000","90.000000","1.300000","70.000000","130.000000","107.929809","21.783861","49748576.740868"
"Case 7","240.000000","340.000000","90.000000","1.300000","80.000000","110.000000","109.480492","40.002427","52508415.621977"
"Case 8","240.000000","340.000000","90.000000","1.300000","80.000000","120.000000","109.955425","29.709491","52147771.502256"
"Case 9","240.000000","340.000000","90.000000","1.300000","80.000000","130.000000","109.969589","19.733362","51258413.720525"
"Case 10","240.000000","340.000000","90.000000","1.650000","60.000000","110.000000","106.072190","43.393254","50330845.502960"
"Case 11","240.000000","340.000000","90.000000","1.650000","60.000000","120.000000","106.357808","33.287774","52760443.082836"
"Case 12","240.000000","340.000000","90.000000","1.650000","60.000000","130.000000","106.405790","23.330997","53362633.133185"
"Case 13","240.000000","340.000000","90.000000","1.650000","70.000000","110.000000","108.096770","41.453644","52244597.319446"
"Case 14","240.000000","340.000000","90.000000","1.650000","70.000000","120.000000","108.452026","31.216810","54865573.733464"
"Case 15","240.000000","340.000000","90.000000","1.650000","70.000000","130.000000","108.530780","21.207173","55119941.983283"
"Case 16","240.000000","340.000000","90.000000","1.650000","80.000000","110.000000","109.927181","39.605690","54023877.757082"
"Case 17","240.000000","340.000000","90.000000","1.650000","80.000000","120.000000","110.539990","29.193942","56948274.650511"
"Case 18","240.000000","340.000000","90.000000","1.650000","80.000000","130.000000","110.620489","19.099659","57021279.342231"
"Case 19","240.000000","340.000000","90.000000","2.000000","60.000000","110.000000","106.357014","43.193632","51545684.422023"
"Case 20","240.000000","340.000000","90.000000","2.000000","60.000000","120.000000","106.666069","33.019844","53989987.224637"
"Case 21","240.000000","340.000000","90.000000","2.000000","60.000000","130.000000","106.746461","23.016560","56095486.129585"
"Case 22","240.000000","340.000000","90.000000","2.000000","70.000000","110.000000","108.393796","41.213467","53653164.902730"
"Case 23","240.000000","340.000000","90.000000","2.000000","70.000000","120.000000","108.814321","30.892956","56300480.610415"
"Case 24","240.000000","340.000000","90.000000","2.000000","70.000000","130.000000","108.904893","20.845404","58458676.229369"
"Case 25","240.000000","340.000000","90.000000","2.000000","80.000000","110.000000","110.011646","39.539139","55682991.592638"
"Case 26","240.000000","340.000000","90.000000","2.000000","80.000000","120.000000","110.878577","28.846581","58590163.178078"
"Case 27","240.000000","340.000000","90.000000","2.000000","80.000000","130.000000","111.026970","18.709703","60816544.105819"
"Case 28","240.000000","340.000000","100.000000","1.300000","60.000000","110.000000","105.535820","43.782334","48398491.362472"
"Case 29","240.000000","340.000000","100.000000","1.300000","60.000000","120.000000","105.812951","33.721107","48585905.798346"
"Case 30","240.000000","340.000000","100.000000","1.300000","60.000000","130.000000","105.832934","23.865301","47992527.321812"
"Case 31","240.000000","340.000000","100.000000","1.300000","70.000000","110.000000","107.506792","41.922895","50114201.989750"
"Case 32","240.000000","340.000000","100.000000","1.300000","70.000000","120.000000","107.872806","31.747186","50207828.759448"
"Case 33","240.000000","340.000000","100.000000","1.300000","70.000000","130.000000","107.900758","21.808292","49368483.527119"
"Case 34","240.000000","340.000000","100.000000","1.300000","80.000000","110.000000","109.337683","40.126766","51725570.676879"
"Case 35","240.000000","340.000000","100.000000","1.300000","80.000000","120.000000","109.845199","29.789497","51680920.202037"
"Case 36","240.000000","340.000000","100.000000","1.300000","80.000000","130.000000","109.932833","19.767519","50904428.156634"
"Case 37","240.000000","340.000000","100.000000","1.650000","60.000000","110.000000","105.971155","43.464906","49575057.827381"
"Case 38","240.000000","340.000000","100.000000","1.650000","60.000000","120.000000","106.299136","33.286684","51993539.265571"
"Case 39","240.000000","340.000000","100.000000","1.650000","60.000000","130.000000","106.376625","23.360972","52859155.882109"
"Case 40","240.000000","340.000000","100.000000","1.650000","70.000000","110.000000","107.976969","41.557844","51473630.254082"
"Case 41","240.000000","340.000000","100.000000","1.650000","70.000000","120.000000","108.396316","31.271266","54076733.513582"
"Case 42","240.000000","340.000000","100.000000","1.650000","70.000000","130.000000","108.497496","21.240263","54652958.467618"
"Case 43","240.000000","340.000000","100.000000","1.650000","80.000000","110.000000","109.807236","39.728996","53246518.904323"
"Case 44","240.000000","340.000000","100.000000","1.650000","80.000000","120.000000","110.434800","29.254330","56138680.222693"
"Case 45","240.000000","340.000000","100.000000","1.650000","80.000000","130.000000","110.581552","19.135741","56584258.459183"
"Case 46","240.000000","340.000000","100.000000","2.000000","60.000000","110.000000","106.254641","43.279359","50791634.475558"
"Case 47","240.000000","340.000000","100.000000","2.000000","60.000000","120.000000","106.618031","33.065528","53225622.405501"
"Case 48","240.000000","340.000000","100.000000","2.000000","60.000000","130.000000","106.716797","23.050747","55328279.962713"
"Case 49","240.000000","340.000000","100.000000","2.000000","70.000000","110.000000","108.260960","41.321148","52888422.568424"
"Case 50","240.000000","340.000000","100.000000","2.000000","70.000000","120.000000","108.734342","30.966181","55512836.282639"
"Case 51","240.000000","340.000000","100.000000","2.000000","70.000000","130.000000","108.871715","20.886558","57668774.853066"
"Case 52","240.000000","340.000000","100.000000","2.000000","80.000000","110.000000","110.027441","39.511159","54872392.092141"
"Case 53","240.000000","340.000000","100.000000","2.000000","80.000000","120.000000","110.804538","28.917931","57778758.664203"
"Case 54","240.000000","340.000000","100.000000","2.000000","80.000000","130.000000","110.987666","18.747657","60002570.405977"
"Case 55","240.000000","340.000000","110.000000","1.300000","60.000000","110.000000","105.413019","43.857763","47592289.117818"
"Case 56","240.000000","340.000000","110.000000","1.300000","60.000000","120.000000","105.758363","33.759459","48290539.536077"
"Case 57","240.000000","340.000000","110.000000","1.300000","60.000000","130.000000","105.799819","23.887829","47566345.192667"
"Case 58","240.000000","340.000000","110.000000","1.300000","70.000000","110.000000","107.364472","42.026522","49289347.135755"
"Case 59","240.000000","340.000000","110.000000","1.300000","70.000000","120.000000","107.757820","31.805814","49730075.312692"
"Case 60","240.000000","340.000000","110.000000","1.300000","70.000000","130.000000","107.854263","21.810980","48988173.902165"
"Case 61","240.000000","340.000000","110.000000","1.300000","80.000000","110.000000","109.160053","40.262923","50899008.607974"
"Case 62","240.000000","340.000000","110.000000","1.300000","80.000000","120.000000","109.763252","29.859800","51489831.159411"
"Case 63","240.000000","340.000000","110.000000","1.300000","80.000000","130.000000","109.890101","19.805967","50585893.410401"
"Case 64","240.000000","340.000000","110.000000","1.650000","60.000000","110.000000","105.845566","43.560270","48771013.385598"
"Case 65","240.000000","340.000000","110.000000","1.650000","60.000000","120.000000","106.218231","33.364097","51177885.433973"
"Case 66","240.000000","340.000000","110.000000","1.650000","60.000000","130.000000","106.341642","23.388523","52359688.844716"
"Case 67","240.000000","340.000000","110.000000","1.650000","70.000000","110.000000","107.811370","41.684823","50654241.480987"
"Case 68","240.000000","340.000000","110.000000","1.650000","70.000000","120.000000","108.298261","31.331896","53234030.164780"
"Case 69","240.000000","340.000000","110.000000","1.650000","70.000000","130.000000","108.457545","21.275142","54190171.102157"
"Case 70","240.000000","340.000000","110.000000","1.650000","80.000000","110.000000","109.607274","39.924158","52423126.660400"
"Case 71","240.000000","340.000000","110.000000","1.650000","80.000000","120.000000","110.348308","29.336072","55274099.908596"
"Case 72","240.000000","340.000000","110.000000","1.650000","80.000000","130.000000","110.535421","19.178162","56166481.281163"
"Case 73","240.000000","340.000000","110.000000","2.000000","60.000000","110.000000","106.126206","43.386582","49988307.840260"
"Case 74","240.000000","340.000000","110.000000","2.000000","60.000000","120.000000","106.554142","33.115166","52410872.869487"
"Case 75","240.000000","340.000000","110.000000","2.000000","60.000000","130.000000","106.680834","23.078753","54510902.256927"
"Case 76","240.000000","340.000000","110.000000","2.000000","70.000000","110.000000","108.095562","41.472647","52071012.777646"
"Case 77","240.000000","340.000000","110.000000","2.000000","70.000000","120.000000","108.660763","31.040773","54672088.855196"
"Case 78","240.000000","340.000000","110.000000","2.000000","70.000000","130.000000","108.829548","20.918205","56826679.847430"
"Case 79","240.000000","340.000000","110.000000","2.000000","80.000000","110.000000","109.859334","39.769607","54029838.919871"
"Case 80","240.000000","340.000000","110.000000","2.000000","80.000000","120.000000","110.710555","29.001302","56915644.818977"
"Case 81","240.000000","340.000000","110.000000","2.000000","80.000000","130.000000","110.938444","18.789447","59134778.339107"
"Case 82","240.000000","350.000000","90.000000","1.300000","60.000000","110.000000","110.059869","37.908940","47727924.706927"
"Case 83","240.000000","350.000000","90.000000","1.300000","60.000000","120.000000","114.023313","25.324674","48073608.556645"
"Case 84","240.000000","350.000000","90.000000","1.300000","60.000000","130.000000","114.081481","15.494810","47191752.895870"
"Case 85","240.000000","350.000000","90.000000","1.300000","70.000000","110.000000","109.978973","38.197671","49641029.390302"
"Case 86","240.000000","350.000000","90.000000","1.300000","70.000000","120.000000","116.298392","23.026577","49564787.208193"
"Case 87","240.000000","350.000000","90.000000","1.300000","70.000000","130.000000","116.484917","13.152397","48703276.389483"
"Case 88","240.000000","350.000000","90.000000","1.300000","80.000000","110.000000","109.947144","38.505826","51525844.924325"
"Case 89","240.000000","350.000000","90.000000","1.300000","80.000000","120.000000","118.572160","20.928995","51669960.901138"
"Case 90","240.000000","350.000000","90.000000","1.300000","80.000000","130.000000","118.834584","10.823277","50346781.098631"
"Case 91","240.000000","350.000000","90.000000","1.650000","60.000000","110.000000","110.022190","38.453411","48963202.972912"
"Case 92","240.000000","350.000000","90.000000","1.650000","60.000000","120.000000","114.590531","24.896313","51539357.082308"
"Case 93","240.000000","350.000000","90.000000","1.650000","60.000000","130.000000","114.745088","14.907879","52280827.665980"
"Case 94","240.000000","350.000000","90.000000","1.650000","70.000000","110.000000","110.004240","38.632282","51092495.559956"
"Case 95","240.000000","350.000000","90.000000","1.650000","70.000000","120.000000","116.944484","22.563503","53428757.695734"
"Case 96","240.000000","350.000000","90.000000","1.650000","70.000000","130.000000","117.202209","12.473269","54165334.919792"
"Case 97","240.000000","350.000000","90.000000","1.650000","80.000000","110.000000","109.974288","38.914105","53182530.550322"
"Case 98","240.000000","350.000000","90.000000","1.650000","80.000000","120.000000","119.250851","20.305854","55188304.983098"
"Case 99","240.000000","350.000000","90.000000","1.650000","80.000000","130.000000","119.623084","10.054126","56125364.671030"
"Case 100","240.000000","350.000000","90.000000","2.000000","60.000000","110.000000","110.020959","38.801062","50228062.649053"
"Case 101","240.000000","350.000000","90.000000","2.000000","60.000000","120.000000","114.937913","24.587428","52739260.773292"
"Case 102","240.000000","350.000000","90.000000","2.000000","60.000000","130.000000","115.149266","14.488831","55157773.477067"
"Case 103","240.000000","350.000000","90.000000","2.000000","70.000000","110.000000","109.997189","38.979791","52563987.071406"
"Case 104","240.000000","350.000000","90.000000","2.000000","70.000000","120.000000","117.346766","22.209846","54822282.517468"
"Case 105","240.000000","350.000000","90.000000","2.000000","70.000000","130.000000","117.642299","12.064423","57426330.309887"
"Case 106","240.000000","350.000000","90.000000","2.000000","80.000000","110.000000","109.990286","39.148859","54866306.033879"
"Case 107","240.000000","350.000000","90.000000","2.000000","80.000000","120.000000","119.628566","19.922495","56738644.456251"
"Case 108","240.000000","350.000000","90.000000","2.000000","80.000000","130.000000","120.114681","9.648354","59679785.082691"
"Case 109","240.000000","350.000000","100.000000","1.300000","60.000000","110.000000","110.059521","37.910526","46954498.360209"
"Case 110","240.000000","350.000000","100.000000","1.300000","60.000000","120.000000","113.952762","25.374829","47855790.514159"
"Case 111","240.000000","350.000000","100.000000","1.300000","60.000000","130.000000","114.008450","15.503914","46649918.496274"
"Case 112","240.000000","350.000000","100.000000","1.300000","70.000000","110.000000","109.975900","38.211862","48837384.834629"
"Case 113","240.000000","350.000000","100.000000","1.300000","70.000000","120.000000","116.220177","23.039443","49423530.318836"
"Case 114","240.000000","350.000000","100.000000","1.300000","70.000000","130.000000","116.442384","13.189898","48438152.206020"
"Case 115","240.000000","350.000000","100.000000","1.300000","80.000000","110.000000","109.955517","38.495179","50694460.391135"
"Case 116","240.000000","350.000000","100.000000","1.300000","80.000000","120.000000","118.456119","21.018998","51592024.394708"
"Case 117","240.000000","350.000000","100.000000","1.300000","80.000000","130.000000","118.797515","10.857960","50201960.288566"
"Case 118","240.000000","350.000000","100.000000","1.650000","60.000000","110.000000","110.024318","38.435454","48189255.772262"
"Case 119","240.000000","350.000000","100.000000","1.650000","60.000000","120.000000","114.510687","24.953493","50782281.845440"
"Case 120","240.000000","350.000000","100.000000","1.650000","60.000000","130.000000","114.704686","14.940156","51882837.135796"
"Case 121","240.000000","350.000000","100.000000","1.650000","70.000000","110.000000","109.972890","38.707331","50283292.061944"
