State,"4 - Temperature","5 - Temperature","6 - Temperature","8 - Temperature","VLV-100 - Pressure Drop","P-100 - Delta P","10 - Master Comp Molar Flow (diM-Ether)","14 - Master Comp Molar Flow (Methanol)","SPRDSHT-1 - B1:"
,"C","C","C","C","kPa","kPa","kgmole/h","kgmole/h","kJ/h"
"Case 1","140.000000","240.000000","340.000000","90.000000","20.000000","1000.000000","127.362000","4.373841","33535418.555667"
"Case 2","140.000000","240.000000","340.000000","90.000000","20.000000","1500.000000","127.362341","4.375948","33535415.692507"
"Case 3","140.000000","240.000000","340.000000","90.000000","20.000000","2000.000000","127.362293","4.375175","33534803.770469"
"Case 4","140.000000","240.000000","340.000000","90.000000","40.000000","1000.000000","127.362315","4.375487","33534709.414034"
"Case 5","140.000000","240.000000","340.000000","90.000000","40.000000","1500.000000","127.362313","4.375487","33534707.000286"
"Case 6","140.000000","240.000000","340.000000","90.000000","40.000000","2000.000000","127.362313","4.375487","33534706.921401"
"Case 7","140.000000","240.000000","340.000000","90.000000","60.000000","1000.000000","127.362313","4.375486","33534706.918247"
"Case 8","140.000000","240.000000","340.000000","90.000000","60.000000","1500.000000","127.362313","4.375486","33534706.918152"
"Case 9","140.000000","240.000000","340.000000","90.000000","60.000000","2000.000000","127.362313","4.375486","33534706.918150"
"Case 10","140.000000","240.000000","340.000000","100.000000","20.000000","1000.000000","127.363447","4.375165","33363750.478135"
"Case 11","140.000000","240.000000","340.000000","100.000000","20.000000","1500.000000","127.362304","4.375714","33358290.663211"
"Case 12","140.000000","240.000000","340.000000","100.000000","20.000000","2000.000000","127.362348","4.375314","33359026.757480"
"Case 13","140.000000","240.000000","340.000000","100.000000","40.000000","1000.000000","127.362305","4.375297","33358864.356784"
"Case 14","140.000000","240.000000","340.000000","100.000000","40.000000","1500.000000","127.362309","4.375297","33358863.943335"
"Case 15","140.000000","240.000000","340.000000","100.000000","40.000000","2000.000000","127.362309","4.375297","33358863.969970"
"Case 16","140.000000","240.000000","340.000000","100.000000","60.000000","1000.000000","127.362309","4.375297","33358863.970358"
"Case 17","140.000000","240.000000","340.000000","100.000000","60.000000","1500.000000","127.362309","4.375297","33358863.970336"
"Case 18","140.000000","240.000000","340.000000","100.000000","60.000000","2000.000000","127.362309","4.375297","33358863.970335"
"Case 19","140.000000","240.000000","340.000000","110.000000","20.000000","1000.000000","127.361666","4.375597","33031132.594952"
"Case 20","140.000000","240.000000","340.000000","110.000000","20.000000","1500.000000","127.362388","4.375221","33035165.748698"
"Case 21","140.000000","240.000000","340.000000","110.000000","20.000000","2000.000000","127.362263","4.375081","33034502.950737"
"Case 22","140.000000","240.000000","340.000000","110.000000","40.000000","1000.000000","127.362325","4.375515","33034577.926096"
"Case 23","140.000000","240.000000","340.000000","110.000000","40.000000","1500.000000","127.362318","4.375534","33034578.374855"
"Case 24","140.000000","240.000000","340.000000","110.000000","40.000000","2000.000000","127.362318","4.375534","33034578.378917"
"Case 25","140.000000","240.000000","340.000000","110.000000","60.000000","1000.000000","127.362318","4.375534","33034578.377991"
"Case 26","140.000000","240.000000","340.000000","110.000000","60.000000","1500.000000","127.362318","4.375534","33034578.377995"
"Case 27","140.000000","240.000000","340.000000","110.000000","60.000000","2000.000000","127.362318","4.375534","33034578.377997"
"Case 28","140.000000","240.000000","350.000000","90.000000","20.000000","1000.000000","127.892557","3.227865","32184475.589855"
"Case 29","140.000000","240.000000","350.000000","90.000000","20.000000","1500.000000","127.893228","3.227563","32191505.688077"
"Case 30","140.000000","240.000000","350.000000","90.000000","20.000000","2000.000000","127.893246","3.227514","32191894.520576"
"Case 31","140.000000","240.000000","350.000000","90.000000","40.000000","1000.000000","127.893298","3.227464","32192219.087437"
"Case 32","140.000000","240.000000","350.000000","90.000000","40.000000","1500.000000","127.893292","3.227474","32192198.678516"
"Case 33","140.000000","240.000000","350.000000","90.000000","40.000000","2000.000000","127.893294","3.227475","32192198.418818"
"Case 34","140.000000","240.000000","350.000000","90.000000","60.000000","1000.000000","127.893294","3.227475","32192198.436040"
"Case 35","140.000000","240.000000","350.000000","90.000000","60.000000","1500.000000","127.893294","3.227475","32192198.436782"
"Case 36","140.000000","240.000000","350.000000","90.000000","60.000000","2000.000000","127.893294","3.227475","32192198.436788"
"Case 37","140.000000","240.000000","350.000000","100.000000","20.000000","1000.000000","127.893749","3.227346","32026493.469298"
"Case 38","140.000000","240.000000","350.000000","100.000000","20.000000","1500.000000","127.893272","3.227618","32023338.747408"
"Case 39","140.000000","240.000000","350.000000","100.000000","20.000000","2000.000000","127.893329","3.227704","32023697.897012"
"Case 40","140.000000","240.000000","350.000000","100.000000","40.000000","1000.000000","127.893291","3.227430","32023771.717154"
"Case 41","140.000000","240.000000","350.000000","100.000000","40.000000","1500.000000","127.893295","3.227435","32023772.830106"
"Case 42","140.000000","240.000000","350.000000","100.000000","40.000000","2000.000000","127.893295","3.227436","32023772.913350"
"Case 43","140.000000","240.000000","350.000000","100.000000","60.000000","1000.000000","127.893295","3.227436","32023772.916238"
"Case 44","140.000000","240.000000","350.000000","100.000000","60.000000","1500.000000","127.893295","3.227436","32023772.916290"
"Case 45","140.000000","240.000000","350.000000","100.000000","60.000000","2000.000000","127.893295","3.227436","32023772.916290"
"Case 46","140.000000","240.000000","350.000000","110.000000","20.000000","1000.000000","127.892691","3.227658","31654840.710053"
"Case 47","140.000000","240.000000","350.000000","110.000000","20.000000","1500.000000","127.893388","3.227245","31658616.585071"
"Case 48","140.000000","240.000000","350.000000","110.000000","20.000000","2000.000000","127.893245","3.227107","31657878.799388"
"Case 49","140.000000","240.000000","350.000000","110.000000","40.000000","1000.000000","127.893315","3.227543","31657862.564280"
"Case 50","140.000000","240.000000","350.000000","110.000000","40.000000","1500.000000","127.893289","3.227544","31657762.856425"
"Case 51","140.000000","240.000000","350.000000","110.000000","40.000000","2000.000000","127.893293","3.227544","31657762.309790"
"Case 52","140.000000","240.000000","350.000000","110.000000","60.000000","1000.000000","127.893293","3.227544","31657762.327933"
"Case 53","140.000000","240.000000","350.000000","110.000000","60.000000","1500.000000","127.893293","3.227544","31657762.328786"
"Case 54","140.000000","240.000000","350.000000","110.000000","60.000000","2000.000000","127.893293","3.227544","31657762.328792"
"Case 55","140.000000","240.000000","360.000000","90.000000","20.000000","1000.000000","128.374070","2.416205","31610905.789900"
"Case 56","140.000000","240.000000","360.000000","90.000000","20.000000","1500.000000","128.374096","2.414573","31615312.903287"
"Case 57","140.000000","240.000000","360.000000","90.000000","20.000000","2000.000000","128.374001","2.415169","31614815.678381"
"Case 58","140.000000","240.000000","360.000000","90.000000","40.000000","1000.000000","128.374038","2.414944","31615162.345447"
"Case 59","140.000000","240.000000","360.000000","90.000000","40.000000","1500.000000","128.374025","2.414942","31615114.345853"
"Case 60","140.000000","240.000000","360.000000","90.000000","40.000000","2000.000000","128.374027","2.414942","31615113.959181"
"Case 61","140.000000","240.000000","360.000000","90.000000","60.000000","1000.000000","128.374027","2.414942","31615113.984235"
