Row/Case Status;VARY1-5MIXED TEMPERATURE C;VARY2-6MIXED TEMPERATURE C;VARY3-8MIXED TEMPERATURE C;VARY-4 T-101 PARAM RR;VARY 5T-101 PARAM D:F;VARY-6 T-100 PARAM D:F;DIM KMOL/HR;METHANOL KMOL/HR;Q KJ/HR
единицы измерения;единицы измерения;единицы измерения;единицы измерения;единицы измерения;единицы измерения;единицы измерения;единицы измерения;единицы измерения;единицы измерения
1 OK;240;400;90;1.3;0.25;0.25;80.6603138;24.1108781;24091770.78
2 OK;240;400;90;1.3;0.25;0.275;88.048807;24.11165;24639296.28
3 OK;240;400;90;1.3;0.25;0.3;95.3279307;24.1129446;25208790.87
4 OK;240;400;90;1.3;0.275;0.25;82.5572683;24.1106837;25864360.03
5 OK;240;400;90;1.3;0.275;0.275;90.0425502;24.1113103;26356430.87
6 OK;240;400;90;1.3;0.275;0.3;97.3931641;24.1124933;26872226.71
7 OK;240;400;90;1.3;0.3;0.25;84.5586695;24.1105337;27735696.07
8 OK;240;400;90;1.3;0.3;0.275;92.1274089;24.1110117;28164704.08
9 OK;240;400;90;1.3;0.3;0.3;99.5506035;24.1120723;28621157.63
10 OK;240;400;90;1.65;0.25;0.25;80.660321;24.1108789;24878555.61
11 OK;240;400;90;1.65;0.25;0.275;88.0521022;24.1116514;25396283.14
12 OK;240;400;90;1.65;0.25;0.3;95.3279436;24.1129454;25936215.71
13 Errors;240;400;90;1.65;0.275;0.25;82.5628971;24.1106859;26751964.27
14 Errors;240;400;90;1.65;0.275;0.275;90.0412869;24.1113115;27208483.92
15 OK;240;400;90;1.65;0.275;0.3;97.3929259;24.1125016;27690700.92
16 OK;240;400;90;1.65;0.3;0.25;84.5605283;24.1113707;28727598.25
17 OK;240;400;90;1.65;0.3;0.275;92.1269439;24.111826;29116393.35
18 OK;240;400;90;1.65;0.3;0.3;99.5502708;24.1120791;29534551.15
19 OK;240;400;90;2;0.25;0.25;80.6574752;24.1115722;25665197.08
20 OK;240;400;90;2;0.25;0.275;88.048049;24.1123362;26152790.28
21 OK;240;400;90;2;0.25;0.3;95.3271715;24.1136214;26663736.82
22 OK;240;400;90;2;0.275;0.25;82.5626526;24.1113173;27638765.11
23 OK;240;400;90;2;0.275;0.275;90.0413217;24.1119246;28060766.31
24 Errors;240;400;90;2;0.275;0.3;97.3928956;24.1124943;28508713.16
25 OK;240;400;90;2;0.3;0.25;84.5601451;24.1111037;29718754.7
26 OK;240;400;90;2;0.3;0.275;92.1273591;24.1110128;30068314.99
27 OK;240;400;90;2;0.3;0.3;99.550274;24.1120768;30448388.61
28 OK;240;400;100;1.3;0.25;0.25;80.6579695;24.110877;24091629.7
29 OK;240;400;100;1.3;0.25;0.275;88.0488043;24.11165;24639296.28
30 OK;240;400;100;1.3;0.25;0.3;95.3279312;24.1129446;25208790.82
31 OK;240;400;100;1.3;0.275;0.25;82.5572683;24.1106837;25864360.03
32 OK;240;400;100;1.3;0.275;0.275;90.0425502;24.1113103;26356430.87
33 OK;240;400;100;1.3;0.275;0.3;97.3931641;24.1124933;26872226.71
34 OK;240;400;100;1.3;0.3;0.25;84.5586695;24.1105337;27735696.07
35 OK;240;400;100;1.3;0.3;0.275;92.1274089;24.1110117;28164704.08
36 OK;240;400;100;1.3;0.3;0.3;99.5506035;24.1120723;28621157.63
37 OK;240;400;100;1.65;0.25;0.25;80.660321;24.1108789;24878555.61
38 OK;240;400;100;1.65;0.25;0.275;88.0521022;24.1116514;25396283.14
39 OK;240;400;100;1.65;0.25;0.3;95.3279436;24.1129454;25936215.71
40 Errors;240;400;100;1.65;0.275;0.25;82.5628971;24.1106859;26751964.27
41 Errors;240;400;100;1.65;0.275;0.275;90.0412869;24.1113115;27208483.92
42 OK;240;400;100;1.65;0.275;0.3;97.3929259;24.1125016;27690700.92
43 OK;240;400;100;1.65;0.3;0.25;84.5605283;24.1113707;28727598.25
44 OK;240;400;100;1.65;0.3;0.275;92.1269439;24.111826;29116393.35
45 OK;240;400;100;1.65;0.3;0.3;99.5502708;24.1120791;29534551.15
46 OK;240;400;100;2;0.25;0.25;80.6574752;24.1115722;25665197.08
47 OK;240;400;100;2;0.25;0.275;88.048049;24.1123362;26152790.28
48 OK;240;400;100;2;0.25;0.3;95.3271715;24.1136214;26663736.82
49 OK;240;400;100;2;0.275;0.25;82.5626526;24.1113173;27638765.11
50 OK;240;400;100;2;0.275;0.275;90.0413217;24.1119246;28060766.31
51 Errors;240;400;100;2;0.275;0.3;97.3928956;24.1124943;28508713.16
52 OK;240;400;100;2;0.3;0.25;84.5601451;24.1111037;29718754.7
53 OK;240;400;100;2;0.3;0.275;92.1273591;24.1110128;30068314.99
54 OK;240;400;100;2;0.3;0.3;99.550274;24.1120768;30448388.61
55 OK;240;400;110;1.3;0.25;0.25;80.6579695;24.110877;24091629.7
56 OK;240;400;110;1.3;0.25;0.275;88.0488043;24.11165;24639296.28
57 OK;240;400;110;1.3;0.25;0.3;95.3279312;24.1129446;25208790.82
58 OK;240;400;110;1.3;0.275;0.25;82.5572683;24.1106837;25864360.03
59 OK;240;400;110;1.3;0.275;0.275;90.0425502;24.1113103;26356430.87
60 OK;240;400;110;1.3;0.275;0.3;97.3931641;24.1124933;26872226.71
61 OK;240;400;110;1.3;0.3;0.25;84.5586695;24.1105337;27735696.07
62 OK;240;400;110;1.3;0.3;0.275;92.1274089;24.1110117;28164704.08
63 OK;240;400;110;1.3;0.3;0.3;99.5506035;24.1120723;28621157.63
64 OK;240;400;110;1.65;0.25;0.25;80.660321;24.1108789;24878555.61
65 OK;240;400;110;1.65;0.25;0.275;88.0521022;24.1116514;25396283.14
66 OK;240;400;110;1.65;0.25;0.3;95.3279436;24.1129454;25936215.71
67 Errors;240;400;110;1.65;0.275;0.25;82.5628971;24.1106859;26751964.27
68 Errors;240;400;110;1.65;0.275;0.275;90.0412869;24.1113115;27208483.92
69 OK;240;400;110;1.65;0.275;0.3;97.3929259;24.1125016;27690700.92
70 OK;240;400;110;1.65;0.3;0.25;84.5605283;24.1113707;28727598.25
71 OK;240;400;110;1.65;0.3;0.275;92.1269439;24.111826;29116393.35
72 OK;240;400;110;1.65;0.3;0.3;99.5502708;24.1120791;29534551.15
73 OK;240;400;110;2;0.25;0.25;80.6574752;24.1115722;25665197.8
74 OK;240;400;110;2;0.25;0.275;88.048049;24.1123362;26152790.28
75 OK;240;400;110;2;0.25;0.3;95.3271715;24.1136214;26663736.82
76 OK;240;400;110;2;0.275;0.25;82.5626526;24.1113173;27638765.11
77 OK;240;400;110;2;0.275;0.275;90.0413217;24.1119246;28060766.31
78 Errors;240;400;110;2;0.275;0.3;97.3928956;24.1124943;28508713.16
79 OK;240;400;110;2;0.3;0.25;84.5601451;24.1111037;29718754.7
80 OK;240;400;110;2;0.3;0.275;92.1273591;24.1110128;30068314.99
81 OK;240;400;110;2;0.3;0.3;99.550274;24.1120768;30448388.61
82 OK;240;410;90;1.3;0.25;0.25;80.6579695;24.110877;24091629.7
83 OK;240;410;90;1.3;0.25;0.275;88.0488043;24.11165;24639296.28
84 OK;240;410;90;1.3;0.25;0.3;95.3279312;24.1129446;25208790.82
85 OK;240;410;90;1.3;0.275;0.25;82.5572683;24.1106837;25864360.03
86 OK;240;410;90;1.3;0.275;0.275;90.0425502;24.1113103;26356430.87
87 OK;240;410;90;1.3;0.275;0.3;97.3931641;24.1124933;26872226.71
88 OK;240;410;90;1.3;0.3;0.25;84.5586695;24.1105337;27735696.07
89 OK;240;410;90;1.3;0.3;0.275;92.1274089;24.1110117;28164704.08
90 OK;240;410;90;1.3;0.3;0.3;99.5506035;24.1120723;28621157.63
91 OK;240;410;90;1.65;0.25;0.25;80.660321;24.1108789;24878555.61
92 OK;240;410;90;1.65;0.25;0.275;88.0521022;24.1116514;25396283.14
93 OK;240;410;90;1.65;0.25;0.3;95.3279436;24.1129454;25936215.71
94 Errors;240;410;90;1.65;0.275;0.25;82.5628971;24.1106859;26751964.27
95 Errors;240;410;90;1.65;0.275;0.275;90.0412869;24.1113115;27208483.92
96 OK;240;410;90;1.65;0.275;0.3;97.3929259;24.1125016;27690700.92
97 OK;240;410;90;1.65;0.3;0.25;84.5605283;24.1113707;28727598.25
98 OK;240;410;90;1.65;0.3;0.275;92.1269439;24.111826;29116393.35
99 OK;240;410;90;1.65;0.3;0.3;99.5502708;24.1120791;29534551.15
100 OK;240;410;90;2;0.25;0.25;80.6574752;24.1115722;25665197.08
101 OK;240;410;90;2;0.25;0.275;88.048049;24.1123362;26152790.28
102 OK;240;410;90;2;0.25;0.3;95.3271715;24.1136214;26663736.82
